Eval:::Epoch [91/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [92/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [93/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [94/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [95/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [96/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [97/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [98/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [99/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [100/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [101/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [102/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [103/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [104/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [105/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [106/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [107/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [108/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [109/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [110/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [111/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [112/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [113/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [114/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [115/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [116/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [117/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [118/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [119/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [120/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [121/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [122/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [123/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [124/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [125/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [126/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [127/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [128/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [129/500], Loss: 0.0001, Dev Accuracy: 0.9417, Dev F1 Score: 0.9359
Eval:::Epoch [130/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [131/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [132/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [133/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [134/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [135/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [136/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [137/500], Loss: 0.0002, Dev Accuracy: 0.9475, Dev F1 Score: 0.9437
Eval:::Epoch [138/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9379
Eval:::Epoch [139/500], Loss: 0.0003, Dev Accuracy: 0.9417, Dev F1 Score: 0.9379
Eval:::Epoch [140/500], Loss: 0.0001, Dev Accuracy: 0.9475, Dev F1 Score: 0.9434
Eval:::Epoch [141/500], Loss: 0.0001, Dev Accuracy: 0.9504, Dev F1 Score: 0.9464
Eval:::Epoch [142/500], Loss: 0.0001, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [143/500], Loss: 0.0001, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [144/500], Loss: 0.0001, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [145/500], Loss: 0.0001, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [146/500], Loss: 0.0001, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [147/500], Loss: 0.0001, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [148/500], Loss: 0.0000, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [149/500], Loss: 0.0000, Dev Accuracy: 0.9475, Dev F1 Score: 0.9430
Eval:::Epoch [150/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [151/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [152/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [153/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [154/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [155/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
