Test:::Loss: 0.2330, Dev Accuracy: 0.9329, Dev F1 Score: 0.9176
Eval:::Epoch [155/500], Loss: 0.1289, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [156/500], Loss: 0.1285, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [157/500], Loss: 0.1280, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [158/500], Loss: 0.1277, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [159/500], Loss: 0.1273, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [160/500], Loss: 0.1267, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [161/500], Loss: 0.1264, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [162/500], Loss: 0.1261, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [163/500], Loss: 0.1258, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [164/500], Loss: 0.1255, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [165/500], Loss: 0.1251, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [166/500], Loss: 0.1248, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [167/500], Loss: 0.1246, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [168/500], Loss: 0.1241, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [169/500], Loss: 0.1238, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [170/500], Loss: 0.1235, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [171/500], Loss: 0.1233, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [172/500], Loss: 0.1232, Dev Accuracy: 0.9184, Dev F1 Score: 0.9103
Eval:::Epoch [173/500], Loss: 0.1232, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [174/500], Loss: 0.1228, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [175/500], Loss: 0.1224, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
